Time_Since_Run_subRespo_Window,Time_Since_Run_Photo_Prez,Time_Since_Run_Cue_Prez,trial_Corr,rt,What_Is_CorrResp,Subject_Respo,trial_n,block,sub,Cue_Type,Stim1,Stim2
38.479178044945,36.33111154893410,32.029296185821300,1,6.950027288170530,1,0,0,4,1,CF,circDi,frac
46.91357927094210,45.16314754681660,41.662162402877600,1,6.026592139154670,1,1,1,4,1,Global_CF,frac,circDi
55.579157610889500,53.094967814860900,55.051256000995600,1,6.740286041982470,1,1,2,4,1,Global_CL,frac,circDi
65.91929857595820,62.94504070887340,65.39412955800070,1,8.302785811014470,1,1,3,4,1,Global_CL,frac,circDi
75.47943042381670,62.94504070887340,73.82895623799410,0,6.743057043058800,1,0,4,4,1,CL,circDi,frac
83.13432563003150,81.47648752084930,78.16915485495700,1,5.701967027038340,1,1,5,4,1,Global_CF,frac,circDi
93.88487299182450,89.57684816094120,91.72785009280780,1,8.553442138014360,1,1,6,4,1,CL,frac,circDi
103.2348415858580,101.16682290285800,97.0678005258087,1,6.957786497892810,1,1,7,4,1,Global_CF,frac,circDi
112.478033995023,110.42520907102200,106.32147681689800,1,6.738125710049640,1,0,8,4,1,CF,frac,circDi
121.26187486993100,118.14390383497800,119.69989183591700,1,6.430145577061920,1,1,9,4,1,CL,frac,circDi
129.08644679095600,126.80964106484300,128.56005073990700,1,6.022573912050580,1,1,10,4,1,Global_CL,frac,circDi
137.7332092099820,135.766348086996,131.86675197002500,0,6.535429971059780,1,0,11,4,1,Global_CF,circDi,frac
147.200485721929,143.69205142185100,145.4421339519320,0,7.11094935098663,1,0,12,4,1,Global_CL,circDi,frac
157.269566959003,153.35968468897000,155.31542132189500,1,7.736512609990310,1,1,13,4,1,CL,frac,circDi
167.61223221896200,164.62625460187000,167.0820273188870,1,8.061054141959180,1,1,14,4,1,Global_CL,frac,circDi
178.3664201858920,164.62625460187000,176.40898498287400,1,8.625008851988240,1,1,15,4,1,CL,circDi,frac
188.22739534685400,164.62625460187000,186.37504277192100,1,7.623610394075510,1,1,16,4,1,CL,circDi,frac
196.96089168498300,195.00824639992800,191.12380868801800,0,6.387338081840430,1,0,17,4,1,CF,frac,circDi
207.59320626198300,205.04093327187000,199.94658247195200,0,8.558815761003640,1,0,18,4,1,CF,circDi,frac
218.46424279687900,205.04093327187000,216.50856037181800,1,8.094772360054780,1,1,19,4,1,CL,circDi,frac
226.69899564795200,224.94771719700700,221.44930989900600,1,6.059308681869880,1,1,20,4,1,Global_CF,frac,circDi
235.62536872387900,233.56414547702300,229.47887456882700,0,6.918239906197410,1,0,21,4,1,CF,circDi,frac
246.06481786700900,243.6074934618080,238.6978964258450,1,7.985337514895950,1,1,22,4,1,Global_CF,frac,circDi
254.5140998759310,252.84844751283500,249.54892091197000,0,5.478052707156170,1,0,23,4,1,CF,frac,circDi
262.7417109189560,260.8809421979820,257.19344822783000,0,6.030972176929940,1,0,24,4,1,CF,circDi,frac
272.6801438629630,270.3130885770080,265.626435671933,0,7.593843373004350,1,0,25,4,1,Global_CF,circDi,frac
281.29885472985900,279.54769560485100,276.0586958169010,0,5.650492588989440,1,0,26,4,1,CF,circDi,frac
291.76167119690200,279.54769560485100,289.711577701848,1,8.440597217995670,1,1,27,4,1,CL,circDi,frac
302.4910641859750,299.4061074149800,301.96210576291200,1,8.577224140055480,1,1,28,4,1,Global_CL,frac,circDi
311.6179152459370,309.7632535658780,306.06688486691600,0,6.183000800199810,1,0,29,4,1,Global_CF,circDi,frac
321.8344272689430,318.85596906393800,321.3060224610380,0,8.100501615088430,1,0,30,4,1,Global_CL,frac,circDi
330.5666025390380,328.28796339198000,330.03906161687300,1,5.924641424091530,1,1,31,4,1,Global_CL,frac,circDi
